sample1	sample2	value	sample1_type	sample1_extraction_protocol_short	sample2_type	sample2_extraction_protocol_short	sample_type	sample_type_2	biomass_sample	biomass_sample_long
oral_human_D_1_microbiome20_H	oral_saliva_D_3_microbiome20_C	0.34757779033927194	human.saliva.D	MM (20-min.)	human.saliva.D	MM (20-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome2_H	oral_human_D_2_microbiome2_H	0.35135302544666847	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome2_H	oral_human_D_3_microbiome2_H	0.47695784466367963	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome2_H	oral_saliva_D_1_microbiome2_C	0.3550528923041766	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome2_H	oral_saliva_D_2_microbiome2_C	0.38632478667252473	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome2_H	oral_saliva_D_3_microbiome2_C	0.3571084334763155	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_1_qiagen_H	oral_human_D_2_qiagen_H	0.36425421774867384	human.saliva.D	PS	human.saliva.D	PS	human	human saliva	high	High biomass
oral_human_D_1_qiagen_H	oral_human_D_3_qiagen_H	0.4696842345635308	human.saliva.D	PS	human.saliva.D	PS	human	human saliva	high	High biomass
oral_human_D_1_qiagen_H	oral_saliva_D_1_qiagen_C	0.35751809647848226	human.saliva.D	PS	human.saliva.D	PS	human	human saliva	high	High biomass
oral_human_D_1_qiagen_H	oral_saliva_D_2_qiagen_C	0.3636053710143369	human.saliva.D	PS	human.saliva.D	PS	human	human saliva	high	High biomass
oral_human_D_1_qiagen_H	oral_saliva_D_3_qiagen_C	0.34900083126311454	human.saliva.D	PS	human.saliva.D	PS	human	human saliva	high	High biomass
oral_human_D_2_microbiome20_H	oral_human_D_3_microbiome20_H	0.4367771549937932	human.saliva.D	MM (20-min.)	human.saliva.D	MM (20-min.)	human	human saliva	high	High biomass
oral_human_D_2_microbiome20_H	oral_saliva_D_1_microbiome20_C	0.3571904707949232	human.saliva.D	MM (20-min.)	human.saliva.D	MM (20-min.)	human	human saliva	high	High biomass
oral_human_D_2_microbiome20_H	oral_saliva_D_2_microbiome20_C	0.36058403001127953	human.saliva.D	MM (20-min.)	human.saliva.D	MM (20-min.)	human	human saliva	high	High biomass
oral_human_D_2_microbiome20_H	oral_saliva_D_3_microbiome20_C	0.38484712865892795	human.saliva.D	MM (20-min.)	human.saliva.D	MM (20-min.)	human	human saliva	high	High biomass
oral_human_D_2_microbiome2_H	oral_human_D_3_microbiome2_H	0.4503767277427284	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
