sample1	sample2	value	sample1_type	sample1_extraction_protocol_short	sample2_type	sample2_extraction_protocol_short	sample_type	sample_type_2	biomass_sample	biomass_sample_long
oral_human_A_3_microbiome20_H	oral_saliva_A_1_microbiome20_C	0.15012669048898947	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_3_microbiome20_H	oral_saliva_A_2_microbiome20_C	0.10942158330111529	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_3_microbiome20_H	oral_saliva_A_3_microbiome20_C	0.09549604420745832	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_3_microbiome2_H	oral_saliva_A_1_microbiome2_C	0.09463342882412172	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_3_microbiome2_H	oral_saliva_A_2_microbiome2_C	0.07411577527671463	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_3_microbiome2_H	oral_saliva_A_3_microbiome2_C	0.07078014281767916	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_3_qiagen_H	oral_saliva_A_1_qiagen_C	0.09001610001692079	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_3_qiagen_H	oral_saliva_A_2_qiagen_C	0.09805835253327823	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_3_qiagen_H	oral_saliva_A_3_qiagen_C	0.103360273179098	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_B_1_microbiome20_H	oral_human_B_2_microbiome20_H	0.023445118148719885	human.saliva.B	MM (20-min.)	human.saliva.B	MM (20-min.)	human	human saliva	high	High biomass
oral_human_B_1_microbiome20_H	oral_human_B_3_microbiome20_H	0.042422867028117636	human.saliva.B	MM (20-min.)	human.saliva.B	MM (20-min.)	human	human saliva	high	High biomass
oral_human_B_1_microbiome2_H	oral_human_B_2_microbiome2_H	0.03648437218835803	human.saliva.B	MM (2-min.)	human.saliva.B	MM (2-min.)	human	human saliva	high	High biomass
oral_human_B_1_microbiome2_H	oral_human_B_3_microbiome2_H	0.027893273358223884	human.saliva.B	MM (2-min.)	human.saliva.B	MM (2-min.)	human	human saliva	high	High biomass
oral_human_B_1_qiagen_H	oral_human_B_2_qiagen_H	0.06184356001999479	human.saliva.B	PS	human.saliva.B	PS	human	human saliva	high	High biomass
oral_human_B_1_qiagen_H	oral_human_B_3_qiagen_H	0.07264384346190446	human.saliva.B	PS	human.saliva.B	PS	human	human saliva	high	High biomass
oral_human_B_2_microbiome20_H	oral_human_B_3_microbiome20_H	0.044210174875435944	human.saliva.B	MM (20-min.)	human.saliva.B	MM (20-min.)	human	human saliva	high	High biomass
oral_human_B_2_microbiome2_H	oral_human_B_3_microbiome2_H	0.025500258094286854	human.saliva.B	MM (2-min.)	human.saliva.B	MM (2-min.)	human	human saliva	high	High biomass
oral_human_B_2_qiagen_H	oral_human_B_3_qiagen_H	0.03976694819872099	human.saliva.B	PS	human.saliva.B	PS	human	human saliva	high	High biomass
oral_human_D_1_microbiome20_H	oral_human_D_2_microbiome20_H	0.026435711619062885	human.saliva.D	MM (20-min.)	human.saliva.D	MM (20-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome20_H	oral_human_D_3_microbiome20_H	0.0917322265048834	human.saliva.D	MM (20-min.)	human.saliva.D	MM (20-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome20_H	oral_saliva_D_1_microbiome20_C	0.11083164893720117	human.saliva.D	MM (20-min.)	human.saliva.D	MM (20-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome20_H	oral_saliva_D_2_microbiome20_C	0.11061764259508047	human.saliva.D	MM (20-min.)	human.saliva.D	MM (20-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome20_H	oral_saliva_D_3_microbiome20_C	0.14148063418969964	human.saliva.D	MM (20-min.)	human.saliva.D	MM (20-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome2_H	oral_human_D_2_microbiome2_H	0.03299210624291652	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome2_H	oral_human_D_3_microbiome2_H	0.10672195038550354	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome2_H	oral_saliva_D_1_microbiome2_C	0.12933444915103887	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome2_H	oral_saliva_D_2_microbiome2_C	0.11294654218886023	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome2_H	oral_saliva_D_3_microbiome2_C	0.11020959934860693	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_1_qiagen_H	oral_human_D_2_qiagen_H	0.08537232915493959	human.saliva.D	PS	human.saliva.D	PS	human	human saliva	high	High biomass
oral_human_D_1_qiagen_H	oral_human_D_3_qiagen_H	0.2562734026251465	human.saliva.D	PS	human.saliva.D	PS	human	human saliva	high	High biomass
oral_human_D_1_qiagen_H	oral_saliva_D_1_qiagen_C	0.13480712177259793	human.saliva.D	PS	human.saliva.D	PS	human	human saliva	high	High biomass
