sample1	sample2	value	sample1_type	sample1_extraction_protocol_short	sample2_type	sample2_extraction_protocol_short	sample_type	sample_type_2	biomass_sample	biomass_sample_long
oral_human_A_2_qiagen_H	oral_saliva_A_2_qiagen_C	0.24571206505761714	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_2_qiagen_H	oral_saliva_A_3_qiagen_C	0.6350918402922253	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_3_microbiome20_H	oral_saliva_A_1_microbiome20_C	0.42378188637665004	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_3_microbiome20_H	oral_saliva_A_2_microbiome20_C	0.07009774532038343	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_3_microbiome20_H	oral_saliva_A_3_microbiome20_C	0.12304726113528887	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_3_microbiome2_H	oral_saliva_A_1_microbiome2_C	0.13324210765534264	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_3_microbiome2_H	oral_saliva_A_2_microbiome2_C	0.08742260605620207	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_3_microbiome2_H	oral_saliva_A_3_microbiome2_C	0.0740323001368141	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_3_qiagen_H	oral_saliva_A_1_qiagen_C	0.1778692229102622	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_3_qiagen_H	oral_saliva_A_2_qiagen_C	0.1464799333722964	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_3_qiagen_H	oral_saliva_A_3_qiagen_C	0.32396196142930284	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_B_1_microbiome20_H	oral_human_B_2_microbiome20_H	0.3282408977692401	human.saliva.B	MM (20-min.)	human.saliva.B	MM (20-min.)	human	human saliva	high	High biomass
oral_human_B_1_microbiome20_H	oral_human_B_3_microbiome20_H	0.21874163767712224	human.saliva.B	MM (20-min.)	human.saliva.B	MM (20-min.)	human	human saliva	high	High biomass
oral_human_B_1_microbiome2_H	oral_human_B_2_microbiome2_H	0.18528561078882158	human.saliva.B	MM (2-min.)	human.saliva.B	MM (2-min.)	human	human saliva	high	High biomass
oral_human_B_1_microbiome2_H	oral_human_B_3_microbiome2_H	0.16927541651693362	human.saliva.B	MM (2-min.)	human.saliva.B	MM (2-min.)	human	human saliva	high	High biomass
oral_human_B_1_qiagen_H	oral_human_B_2_qiagen_H	0.11107136922806349	human.saliva.B	PS	human.saliva.B	PS	human	human saliva	high	High biomass
oral_human_B_1_qiagen_H	oral_human_B_3_qiagen_H	0.022256511349893354	human.saliva.B	PS	human.saliva.B	PS	human	human saliva	high	High biomass
oral_human_B_2_microbiome20_H	oral_human_B_3_microbiome20_H	0.13074592681900327	human.saliva.B	MM (20-min.)	human.saliva.B	MM (20-min.)	human	human saliva	high	High biomass
oral_human_B_2_microbiome2_H	oral_human_B_3_microbiome2_H	0.017999022891050993	human.saliva.B	MM (2-min.)	human.saliva.B	MM (2-min.)	human	human saliva	high	High biomass
oral_human_B_2_qiagen_H	oral_human_B_3_qiagen_H	0.12711533983111556	human.saliva.B	PS	human.saliva.B	PS	human	human saliva	high	High biomass
oral_human_D_1_microbiome20_H	oral_human_D_2_microbiome20_H	0.3053991602284816	human.saliva.D	MM (20-min.)	human.saliva.D	MM (20-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome20_H	oral_human_D_3_microbiome20_H	0.5735438823612196	human.saliva.D	MM (20-min.)	human.saliva.D	MM (20-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome20_H	oral_saliva_D_1_microbiome20_C	0.2372893320779268	human.saliva.D	MM (20-min.)	human.saliva.D	MM (20-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome20_H	oral_saliva_D_2_microbiome20_C	0.4179639478586135	human.saliva.D	MM (20-min.)	human.saliva.D	MM (20-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome20_H	oral_saliva_D_3_microbiome20_C	0.16123325069945946	human.saliva.D	MM (20-min.)	human.saliva.D	MM (20-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome2_H	oral_human_D_2_microbiome2_H	0.11372233894056494	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome2_H	oral_human_D_3_microbiome2_H	0.2732005259596887	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome2_H	oral_saliva_D_1_microbiome2_C	0.3692401271920533	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome2_H	oral_saliva_D_2_microbiome2_C	0.6197287396194864	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome2_H	oral_saliva_D_3_microbiome2_C	0.1312781991586875	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_1_qiagen_H	oral_human_D_2_qiagen_H	0.26905436500749424	human.saliva.D	PS	human.saliva.D	PS	human	human saliva	high	High biomass
oral_human_D_1_qiagen_H	oral_human_D_3_qiagen_H	0.6539561224148995	human.saliva.D	PS	human.saliva.D	PS	human	human saliva	high	High biomass
oral_human_D_1_qiagen_H	oral_saliva_D_1_qiagen_C	0.27849492622789174	human.saliva.D	PS	human.saliva.D	PS	human	human saliva	high	High biomass
