row	column	plasmid_reads	plasmid_reads_log10	plasmid_reads_percent	extraction_protocol	well_type
E	11	11	1.041392685	0.000629831	PowerSoil	sink
F	11	12	1.079181246	0.00040729	PowerSoil	sink
G	11	31	1.491361694	0.00096975	PowerSoil	sink
H	11	30	1.477121255	0.001064018	PowerSoil	sink
A	12	20	1.301029996	0.000489908	PowerSoil	sink
B	12	12	1.079181246	0.000440739	PowerSoil	sink
C	12	9	0.954242509	0.000537442	PowerSoil	sink
D	12	5	0.698970004	0.000919456	PowerSoil	sink
E	12	0	0	0	PowerSoil	sink
F	12	27966	4.446630353	0.909226868	PowerSoil	source
G	12	197	2.294466226	0.011599835	PowerSoil	sink
H	12	1	0	0.001506024	PowerSoil	sink
